news@play	但我想点新闻。	o o o o o o o
stock@query	查询濮耐股份的股票	o o b-name i-name i-name i-name o o o
stock@query	搜索蒙牛的股市行情	o o b-name i-name o o o o o
riddle@query	那就来个字谜吧！	o o o o b-category i-category o o
app@launch	打开个性闹钟	o o b-name i-name i-name i-name
bus@query	从汕头到西安的汽车。	o b-src i-src o b-dest i-dest o o o o
translation@translation	我今天去北京了英语怎么说	b-content i-content i-content i-content i-content i-content i-content b-target i-target o o o
cookbook@query	清蒸武昌鱼。	b-dishname i-dishname i-dishname i-dishname i-dishname o
health@query	包皮过长，怎么办？哦。	b-keyword i-keyword i-keyword i-keyword o o o o o o o
health@query	黄疸	b-keyword i-keyword
map@route	我想到科大讯飞走高速路线	o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o o o
music@play	我要听还是会这首歌	o o o b-song i-song i-song o o o
cookbook@query	宫爆鸡丁的菜谱。	b-dishname i-dishname i-dishname i-dishname o o o o
poetry@query	我要听宋词。	o o o b-dynasty o o
video@query	中国最强音	b-name i-name i-name i-name i-name
app@launch	打开会说话的汤姆猫	o o b-name i-name i-name i-name i-name i-name i-name
tvchannel@play	高尔夫网球	b-name i-name i-name i-name i-name
poetry@default	读一首古诗给我听。	o o o o o o o o o
map@route	从济源市到河南省电信分公司怎么走	o b-startloc_city i-startloc_city i-startloc_city o b-endloc_province i-endloc_province i-endloc_province b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
stock@query	查询一下讯飞科大今天的股票	o o o o b-name i-name i-name i-name o o o o o
website@open	打开三星首页	o o b-name i-name o o
map@route	从新加坡花园怎么去宁溪路	o b-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi o o o b-endloc_poi i-endloc_poi i-endloc_poi
telephone@dial	你给朴叔打电话	o o b-name i-name o o o
bus@query	九江到景德镇的汽车。	b-src i-src o b-dest i-dest i-dest o o o o
message@send	给马翊桐发信息	o b-name i-name i-name o o o
cookbook@query	红烧猪脚	b-dishname i-dishname i-dishname i-dishname
riddle@query	来一个灯谜，你。	o o o b-category i-category o o o
train@query	上饶到南昌的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
tvchannel@play	北京财经台	b-name i-name i-name i-name i-name
flight@query	八月十九号到成都的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
cookbook@query	小杰炖蘑菇怎么做？	o o b-dishname i-dishname i-dishname o o o o
lottery@number_query	帮我买两注双色球	o o o o o b-name i-name i-name
video@query	幻影忍者	b-name i-name i-name i-name
video@query	爱情公约	b-name i-name i-name i-name
cookbook@query	做黄焖小土豆怎么做啊？	o o b-dishname i-dishname i-dishname i-dishname o o o o o
email@create	给我写一封邮件	o o o o o o o
map@route	杭州到上海	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city
cookbook@query	红烧排骨怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
video@query	我想看喜羊羊	o o o b-name i-name i-name
lottery@number_query	看看大乐透的得奖号码	o o b-name i-name i-name o o o o o
flight@query	帮我订明天早晨的机票	o o o b-startdate_date i-startdate_date b-startdate_time i-startdate_time o o o
train@query	查一下兰州到成都的火车票	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
epg@query	哪个台在放甄嬛	o o o o o b-name i-name
map@position	云浮在哪里	b-location_city i-location_city o o o
tvchannel@play	山东高清	b-name i-name i-name i-name
train@query	查一下南京到上海的火车注意谢谢	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o o
poetry@query	来is，来一首采莲。	o o o o o o o b-name i-name o
map@route	南京火车站到南京农业大学	b-startloc_city i-startloc_city b-startloc_poi i-startloc_poi i-startloc_poi o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi
train@query	帮我查一下赣州到杭州的火车票	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
cookbook@query	如何做西红柿炒蛋。	o o o b-dishname i-dishname i-dishname i-dishname i-dishname o
tvchannel@play	我想看高尔夫网球频道	o o o b-name i-name i-name i-name i-name i-name i-name
train@query	查询湛江到广州的火车票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
message@send	给青发短信	o b-name o o o
lottery@number_query	我要购买七乐彩	o o o o b-name i-name i-name
health@query	如何治疗脚臭。	o o o o b-keyword i-keyword o
cookbook@query	酒鬼花生怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
epg@query	可不中央五套明天的节目单	o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date o o o o
stock@query	腾讯公司的股票	b-name i-name o o o o o
translation@translation	我不吃英文怎么讲	b-content i-content i-content b-target i-target o o o
flight@query	九月二十六号从深圳到宁波的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
stock@riserate_query	陈娴tcl股票是涨还是跌了	o o b-name i-name i-name o o o o o o o o
cookbook@query	鸡蛋怎么做？	b-ingredient i-ingredient o o o o
flight@query	阜阳到温州的航班	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	猪肚鸡怎么做啊？	b-dishname i-dishname i-dishname o o o o o
poetry@query	来一首唐诗吗？	o o o b-dynasty o o o
poetry@query	床前明月光下一句是怎么说	b-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o o o o
translation@translation	你好丑用英文怎么说	b-content i-content i-content o b-target i-target o o o
video@query	魔幻手机	b-name i-name i-name i-name
website@open	打开宽带商务网站	o o b-name i-name i-name i-name i-name i-name
epg@query	今天湖南卫视的电子节目单	b-datetime_date i-datetime_date b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o
flight@query	请查询一下深圳飞往上海的航班	o o o o o b-startloc_city i-startloc_city o o b-endloc_city i-endloc_city o o o
news@play	天最新新闻。	o o o o o o
cookbook@query	我想知道皮蛋瘦肉粥是怎么做的	o o o o b-dishname i-dishname i-dishname i-dishname i-dishname o o o o o
video@query	搜王菲演唱会	o b-artist i-artist b-tag i-tag i-tag
news@play	我想知道今天的娱乐新闻。	o o o o b-datetime_date i-datetime_date o b-category i-category o o o
email@create	帮我写一封邮件	o o o o o o o
train@query	查询柳州到昆明的列车	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
lottery@number_query	我要查彩票的开奖信息。	o o o o o o o o o o o
riddle@query	动物谜语。	b-category i-category i-category i-category o
cookbook@query	凉面。	b-dishname i-dishname o
music@play	播放断点	o o b-song i-song
poetry@query	背首唐诗来听啊！	o o b-dynasty o o o o o
health@query	烧伤怎么治疗啊？	b-keyword i-keyword o o o o o o
map@route	从观音桥到重庆市图书馆怎么走	o b-startloc_poi i-startloc_poi i-startloc_poi o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
video@query	请播放一下举起手来	o o o o o b-name i-name i-name i-name
riddle@query	打一个灯谜啊，你。	o o o b-category i-category o o o o
app@launch	打开uc二哦	o o b-name i-name o o
cookbook@query	秋葵怎么做？	b-ingredient i-ingredient o o o o
cookbook@query	豆沙包。	b-dishname i-dishname i-dishname o
website@open	新蛋网	b-name i-name i-name
cookbook@query	麻婆豆腐怎么做	b-dishname i-dishname i-dishname i-dishname o o o
tvchannel@play	央3	b-name i-name
cookbook@query	鸡蛋的做法	b-ingredient i-ingredient o o o
video@query	好无聊哇有什么好看的电影	o o o o o o o b-scoredescr i-scoredescr o b-category i-category
cookbook@query	海虾的做法。	b-ingredient i-ingredient o o o o
poetry@query	来一首李清照的词	o o o b-author i-author i-author o o
match@query	查询中超赛事。	o o b-category i-category o o o
app@download	下载飞信	o o b-name i-name
video@query	张绍刚的综艺节目	b-artist i-artist i-artist o b-tag i-tag b-category i-category
radio@launch	98.4香港电台第四台	b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name
cookbook@query	烤肉串。	b-dishname i-dishname i-dishname o
match@query	北京国安5月23号比赛和谁踢	b-name i-name i-name i-name b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date o o o o o
video@query	惊情四百年	b-name i-name i-name i-name i-name
message@send	写短信给颖村	o o o o b-name i-name
novel@query	我要看饶雪漫的小说左耳	o o o b-author i-author i-author o o o b-name i-name
flight@query	机票	o o
cookbook@query	酸菜是怎么做的可以用塑料布。	b-ingredient i-ingredient o o o o o o o o o o o o
novel@query	给我讲个长篇小说。	o o o o o o o o o
epg@query	查查什么时候放百变大咖秀	o o o o o o o b-name i-name i-name i-name i-name
train@query	后天去南京的火车	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
cookbook@query	帮我搜索一下有什么家常菜？	o o o o o o o o o b-keyword i-keyword i-keyword o
stock@closeprice_query	美菱电器的昨日收盘价是多少	b-name i-name i-name i-name o b-yesterday i-yesterday o o o o o o
cookbook@query	虾炒蛋怎么做？	b-dishname i-dishname i-dishname o o o o
epg@query	北京台有什么好电视	b-tvchannel i-tvchannel i-tvchannel o o o o o o
health@query	腹泻。	b-keyword i-keyword o
app@launch	我把相机打开	o o b-name i-name o o
video@query	我想看周星驰的喜剧电影喜剧之王	o o o b-artist i-artist i-artist o b-tag i-tag b-category i-category b-name i-name i-name i-name
telephone@dial	打电话给何健	o o o o b-name i-name
flight@query	帮我查一下深圳到桂林后天的机票	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city b-startdate_date i-startdate_date o o o
map@position	宁波机场在哪里	b-location_city i-location_city b-location_poi i-location_poi o o o
tvchannel@play	远教四台	b-name i-name i-name i-name
cookbook@query	面条怎么样煮啊？	b-ingredient i-ingredient o o o o o o
health@query	脑瘫	b-keyword i-keyword
tvchannel@play	高清广东台	b-resolution i-resolution b-name i-name i-name
video@query	妖精的尾巴	b-name i-name i-name i-name i-name
video@query	找一下非诚勿扰娱乐节目	o o o b-name i-name i-name i-name b-tag i-tag b-category i-category
cookbook@query	嗯咯鸡爪怎么做的。	o o b-ingredient i-ingredient o o o o o
epg@query	哪个电视台在放神雕侠侣。	o o o o o o o b-name i-name i-name i-name o
health@query	急性胃肠炎。	b-keyword i-keyword i-keyword i-keyword i-keyword o
cookbook@query	盐水鸭怎么做？	b-dishname i-dishname i-dishname o o o o
stock@query	查询洛阳钼业的股票	o o b-name i-name i-name i-name o o o
poetry@query	你不会念唐诗吗？	o o o o b-dynasty o o o
news@play	看一下今天有什么新闻？	o o o b-datetime_date i-datetime_date o o o o o o
music@play	放一首其实我介意	o o o b-song i-song i-song i-song i-song
news@play	给我找到今天的新闻。	o o o o b-datetime_date i-datetime_date o o o o
train@query	从武汉到杭州的火车	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cinemas@query	我要查找雷迪波尔电影院最新上映的大片	o o o o b-theatre i-theatre i-theatre i-theatre i-theatre i-theatre i-theatre o o o o o o o
cookbook@query	肉沫茄子，怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o o
epg@query	现在哪个频道播放电视剧	b-datetime_time i-datetime_time o o o o o o b-category i-category i-category
flight@query	潍坊到北京机票明天的	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o b-startdate_date i-startdate_date o
health@query	大肠癌	b-keyword i-keyword i-keyword
cookbook@query	烧鸡块怎么做？	o b-ingredient i-ingredient o o o o
cookbook@query	面包怎么做	b-dishname i-dishname o o o
flight@query	明天去深圳的飞机	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
train@query	潜山到福州的火车	b-startloc_area i-startloc_area o b-endloc_city i-endloc_city o o o
epg@query	那中央六台明天演什么节目	o b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date o o o o o
telephone@dial	打电话零八	o o o o o
map@route	平阳怎么走吗	b-endloc_area i-endloc_area o o o o
cookbook@query	能山药怎么做？	o b-ingredient i-ingredient o o o o
music@play	我想听你最珍贵这首音乐	o o o b-song i-song i-song i-song o o o o
contacts@query	周慧的电话。	b-name i-name o o o o
telephone@dial	打电话给斌少	o o o o b-name i-name
cookbook@query	炒豆腐。	b-dishname i-dishname i-dishname o
website@open	打开骏网一卡通	o o b-name i-name i-name i-name i-name
video@query	虎胆龙威	b-name i-name i-name i-name
poetry@query	来一首咏柳。	o o o b-name i-name o
music@play	来一首听你听我	o o o b-song i-song i-song i-song
telephone@dial	给张张打电话	o b-name i-name o o o
map@route	春熙路怎么走	b-endloc_poi i-endloc_poi i-endloc_poi o o o
tvchannel@play	哦我想看中央一台	o o o o b-name i-name i-name i-name
tvchannel@play	安徽综艺	b-name i-name i-name i-name
music@play	毛阿敏的歌	b-artist i-artist i-artist o o
train@query	查一下到洛阳的高铁	o o o o b-endloc_city i-endloc_city o b-category i-category
tvchannel@play	高清央视综合频道	b-resolution i-resolution b-name i-name i-name i-name i-name i-name
cookbook@query	教我煮红烧排骨	o o o b-dishname i-dishname i-dishname i-dishname
cookbook@query	怎样炒肉。	o o b-dishname i-dishname o
cinemas@query	看看最近有什么电影？	o o o o o o o o o o
novel@query	玄幻小说《武动乾坤》	b-category i-category o o o b-name i-name i-name i-name o
health@query	湿疹怎么处理？	b-keyword i-keyword o o o o o
